Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
American Robin,Turdus migratorius,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,1,Bowl,4,43,X,X,,1,,,1,,,,X,,1,,X,,,X,X,X,,,,,,,,,,,,,,,X,,X,,,,,X,"These birds all allow you to tuck a card from your hand for a point, then gain some additional benefit (lay an egg, draw a card, or gain a food). You can only gain the benefit if you first tuck a card from your hand.",11,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
American White Pelican,Pelecanus erythrorhynchos,originalcore,Brown,Flocking,Discard a [fish] to tuck 2 [card] from the deck behind this bird.,,X,,5,Ground,1,274,,,X,,,2,,,,,,,2,,X,,X,,,X,,,X,,X,,,X,,,,,,,,X,,,X,,,X,These powers allow you to discard a specific type of food to take 2 cards from the deck and tuck them behind the bird. You must have the food in your personal supply; you cannot take it from a bird card.,12,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,,,,,,,,,,,,,,,,,,
American Woodcock,Scolopax minor,originalcore,,,,,,,9,Ground,2,46,X,X,,2,1,,,,,,,,3,,X,,,,X,,X,X,X,,,,,,,,,,,,,,,,X,,X,,,13,,,,,,,,,,,,,,,,,,,,,,
Anhinga,Anhinga anhinga,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,6,Platform,2,114,,,X,,,2,,,,,,,2,,,,,,,,,,,X,X,,,X,,,,X,,,,X,,,X,,X,,"Birds that eat rodents or fish roll all dice that are not in the birdfeeder. (Note that you will never roll more than 4 dice, because when all 5 dice are out of the birdfeeder it must reset immediately.) Roll dice on the table; they do not go back into the birdfeeder. If one or more dice show the specified type, take at most 1 token of that type from the supply and cache it on your card (see “Caching food”). Each token on a bird card is worth 1 point at the end of the game.",14,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Anna's Hummingbird,Calypte anna,originalcore,Brown,Food from Birdfeeder,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",,,,4,Bowl,2,13,X,X,X,,,,,,,1,,,1,,,X,,,X,,,,,,,,,,,X,X,,,,,,X,X,X,,X,,"The hummingbird’s owner decides which person gains the first food, and then players gain food in turn order. Players may reset the birdfeeder if it is empty or if all dice are showing the same face.",15,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Ash-Throated Flycatcher,Myiarchus cinerascens,originalcore,White,Egg-laying,Lay 1 [egg] on each of your birds with a [cavity] nest.,,,,4,Cavity,4,30,,X,,2,,,1,,,,,,3,X,,,X,,,,,X,,,,,,,X,,X,,X,,X,,,,,,,X,"This power allows you to lay eggs on all of your birds that have a specific nest symbol (and all birds with a star nest symbol), including the newly played bird.",16,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Asian Emerald Dove,Chalcophaps indica,asia,White,,Lay 2 [egg] on each other bird in this column.,,,,6,Platform,2,44,X,X,,,1,,2,,,,,,3,,X,,X,,,,X,X,,,,,,,,,,X,,,X,,,,X,,X,,,358,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Asian Koel,Eudynamys scolopaceus,asia,Pink,,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [platform] nest. You may go 3 over its egg limit while using this power.",,,,4,None,0,62,X,X,X,1,,,1,,,,,,2,,X,,,,X,,,,,,,,,,,,,,,,X,,,,X,,,X,"Going over the egg limit: When you activate this bird, you may use it to lay an egg on a bird that already is at or over its egg limit, as described. This power does not affect any other actions in the game—the egg limit still applies to them. A bird holding eggs in excess of its egg limit still qualifies for the Avian Theriogenologist bonus card. Birds that have no nest symbol and no egg limit still do not qualify to receive eggs from this bird.",359,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,
Atlantic Puffin,Fratercula arctica,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,8,Wild,1,53,,,X,,,3,,,,,,,3,,X,,,,,,,X,X,,X,,,,X,,,X,,,,X,X,,X,X,,X,"Draw two goal cards, pick the one you want to keep, and discard the other. If the deck of goal cards is ever exhausted, shuffle the discards to form a new face-down deck. <br>The birds with this power are all threatened or endangered, or conservationists are concerned that they soon will be because of a declining trend in their population.",17,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Audouin's Gull,Ichthyaetus audouinii,european,Brown,Flocking,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,,X,,1,Ground,2,132,,,X,,,1,,,,1,,,2,,,X,,X,,X,,,X,,X,,,X,,X,,,,,,X,,,X,,,X,,18,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Australasian Pipit,Anthus novaeseelandiae,oceania,Yellow,Flocking,"Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.",,X,,3,Ground,4,31,,X,,1,1,,,,,,,,2,,X,,,X,,X,X,,X,,,,,,,,,,X,,,,,,,,,X,,264,,,,,,,,,,,,,,,,,,,,,,
Australasian Shoveler,Spatula rhynchotis,oceania,Brown,Egg-laying,Choose 1 other player. You both draw 1 [card] from the deck.,,,,4,Ground,4,75,,,X,1,1,,,,,,,,2,,X,,,,,,X,,X,,,,,X,,,,,,,,X,,,,,X,,,265,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Australian Ibis,Threskiornis moluccus,oceania,Brown,Card-drawing,"Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.",,X,,5,Platform,2,118,,X,X,1,,1,,,,1,,,3,,X,,,,X,X,,X,,,X,,,X,,X,,X,,,,,,,X,,,X,"The discard pile remains separate from the bird deck, even after you shuffle and draw from it.",266,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Australian Magpie,Gymnorhina tibicen,oceania,Yellow,Food-related,"Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.",,,,4,Platform,2,75,,X,,1,,,,2,,,,,3,,X,,,,,,,X,,,,,,X,,,,X,X,X,,,,,X,,,X,,267,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,,,,,,,,,,,,,,,,,,
Australian Owlet-Nightjar,Aegotheles cristatus,oceania,Pink,Food-related,"When another player takes the ""gain food"" action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.",,,,2,Cavity,2,28,X,X,X,1,,,,1,,,X,,1,,X,,,X,X,,,,,,,,,,X,,X,,,X,,,,X,X,,,,,268,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,,,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,
Australian Raven,Corvus coronoides,oceania,Yellow,Flocking,Cache up to 5 [wild] from your supply on this bird.,,,,7,Platform,3,100,X,X,X,1,,,,1,,1,,,3,,X,,,,X,,,X,,,,,,X,,X,,X,,X,,,,,,,,X,,269,,,,,,,,,,,,,,,,,,,,,,
Australian Reed Warbler,Acrocephalus australis,oceania,White,,Play another bird in your [wetland]. Pay its normal cost with a 1 [egg] discount.,,,,2,Bowl,3,21,,,X,1,,,,,,,,,1,,X,,,X,,,,,,,,X,,,,,X,,,,,X,X,,,,X,,,270,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,,,,,,,,,,,,,,,,,,
Australian Shelduck,Tadorna tadornoides,oceania,Brown,Other,Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.,,,,3,Cavity,4,113,,,X,1,1,,,,,,,,2,,X,,,X,,,X,,,,,,,X,X,,,,,,,X,,,,,X,,"Before drawing a face-up card with the nest type shown, you may:<ul><li>reset the tray (discard all face-up cards and put out 3 new face-up cards), or</li><li>refill the tray (place new cards from the deck in any empty slots), or</li><li>leave the tray as-is.</li></ul>",271,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Australian Zebra Finch,Taeniopygia castanotis,oceania,Brown,Other,"If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.",,,,1,Wild,3,22,,X,,,1,,,,,,,,1,,X,,,X,,,X,,X,,,,,,X,,X,X,X,,,,X,,,,,X,,272,,,,,,,,,,,,,,,,,,,,,,
Azure Tit,Cyanistes cyanus,asia,Brown,,"Gain 1 [invertebrate], [seed], or [fruit] from the supply.",,,,2,Cavity,4,22,X,,,1,1,,,,,,,,2,,,,X,X,,,X,,,,,,X,,X,,X,,,,,,,,,,,X,,360,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Baird's Sparrow,Ammodramus bairdii,originalcore,Brown,Egg-laying,Lay 1 [egg] on any bird.,,,,3,Ground,2,23,,X,,1,1,,,,,,,,2,,,X,,X,,,X,,X,,,,,,,,X,,X,,,,,,X,,,X,,19,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Bald Eagle,Haliaeetus leucocephalus,originalcore,White,Food from Birdfeeder,Gain all [fish] that are in the birdfeeder.,,,,9,Platform,1,203,,,X,,,2,,1,,,,,3,,,,,,,,,X,,,X,,,X,,,,X,,X,,X,,,X,,X,,,20,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Baltimore Oriole,Icterus galbula,originalcore,Brown,Food from Supply,All players gain 1 [fruit] from the supply.,,,,9,Wild,2,30,X,,,1,,,2,,,,,,3,,X,,,,,,,X,X,,,,X,,X,,X,X,,,X,,X,,X,,X,,,21,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Barn Owl,Tyto alba,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,5,Cavity,4,107,X,X,X,,,,,2,,,,,2,,,,,,X,,,,,X,,,,X,X,,,,,X,,,,,,,,,"Birds that eat rodents or fish roll all dice that are not in the birdfeeder. (Note that you will never roll more than 4 dice, because when all 5 dice are out of the birdfeeder it must reset immediately.) Roll dice on the table; they do not go back into the birdfeeder. If one or more dice show the specified type, take at most 1 token of that type from the supply and cache it on your card (see “Caching food”). Each token on a bird card is worth 1 point at the end of the game.",22,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Hirundo rustica,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,1,Wild,3,38,,X,X,1,,,,,,,,,1,,,,,X,X,X,,,X,,,X,,,X,,,X,,,,,X,,,,,X,"These birds all allow you to tuck a card from your hand for a point, then gain some additional benefit (lay an egg, draw a card, or gain a food). You can only gain the benefit if you first tuck a card from your hand.",23,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Barred Owl,Strix varia,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,3,Cavity,2,107,X,,,,,,,1,,,,,1,,,,,X,,,,,,X,,,X,X,X,,,,,X,,,,,X,,,,"These birds eat other birds. Look at the wingspan of the top card of the deck and compare it to their hunting power. <br>If the wingspan of the top card in the deck is less than the bird’s hunting power, tuck that card to signify that your predator hunted successfully. Each tucked card is worth 1 point at the end of the game. <br>If the wingspan of the top card is equal to or larger than your predator’s power, discard the card instead.",24,,,,,"This bird does not count toward the <strong applink=""/card/1023"">Photographer</strong> bonus card.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31995,,,,,,,,,,,,,,,,
